Origin Page,Destination Page,Link Text,Sentence Text,Wikidata Property Label,Direction
Denmark,Copenhagen,Copenhagen,    AnthemsDer er et yndigt landEnglish There is a lovely countryKong Christian stod ved højen mast91N 193English King Christian stood by the lofty mastLocation of the Kingdom of Denmark green including Greenland the Faroe Islands circled and Denmark properLocation of160Denmark proper91N 293160dark green–160in Europe160green amp160dark grey–160in the European Union160greenCapitaland largest cityCopenhagen55°43′N 12°34′Exfeff  xfeff55717°N 12567°Exfeff  55717 12567Official160languagesDanishRecognised regional160languagesFaroeseGreenlandicGerman91N 393Ethnic160groups ,P17,Backwards
African Library and Information Associations and Institutions,Ghana,Ghana,The Association is registered under the laws of Ghana as an NGO,P17,Forwards
David Attenborough filmography,David Attenborough,David Attenborough,The following is a chronological list of television series and individual programmes where Sir David Attenborough is credited as writer presenter narrator or producer,P1283,Backwards
Drakensberg,South Africa,South Africa,The Great Escarpment reaches its greatest elevation – 2000 to 3482 metres 6562 to 11424 feet within the border region of South Africa and Lesotho,P17,Forwards
Convention on Biological Diversity,Rio de Janeiro,Rio de Janeiro,The convention was opened for signature at the Earth Summit in Rio de Janeiro on 5 June 1992 and entered into force on 29 December 1993,P276,Forwards
India,Bhutan,Bhutan, Bounded by the Indian Ocean on the south the Arabian Sea on the southwest and the Bay of Bengal on the southeast it shares land borders with Pakistan to the west91f93 China Nepal and Bhutan to the north and Bangladesh and Myanmar to the east,P530,Forwards
Belalanda chameleon,Madagascar,Madagascar,Furcifer belalandaensis also commonly known as the Belalanda Chameleon or the Sangoritani Belalanda is a species of chameleon that is endemic to Madagascar,P183,Forwards
Dorothy Tembo,International Trade Centre,International Trade Centre,She is the deputy executive director of the International Trade Centre ITC a joint agency of the United Nations and the World Trade Organization,P1037,Backwards
COVID19 pandemic,COVID19,coronavirus disease 2019,The COVID19 pandemic also known as the coronavirus pandemic is an ongoing global pandemic of coronavirus disease 2019 COVID19 which is caused by severe acute respiratory syndrome coronavirus 2 SARSCoV2,P1889,Forwards
United Cities and Local Governments,Highlevel Political Forum on Sustainable Development,Highlevel Political Forum on Sustainable Development,The organization achieved inclusion of Goal 11 Sustainable cities and communities into Agenda 2030 aggregates best local practices into action plans provides regular updates on the progress and proposals to Highlevel Political Forum on Sustainable Development,P1344,Forwards
William E Rees,University of British Columbia,University of British Columbia,William Rees FRSC born December 18 1943 is Professor Emeritus at the University of British Columbia and former director of the School of Community and Regional Planning SCARP at UBC,P108,Forwards
South Korea,G20,G20,It is a member of the OECDs Development Assistance Committee the G20 and the Paris Club,P527,Backwards
John Elkington business author,University College London,University College London,He is a founding partner and chairman amp chief pollinator at Volans cofounder and honorary chairman of SustainAbility honorary chairman of Environmental Data Services ENDS 1978 senior advisor to the Business amp Human Rights Resource Centre member of the World Wildlife Fund WWF Council of Ambassadors visiting professor at Cranfield University School of Management Imperial College and University College London UCL,P69,Forwards
British Columbia,Victoria British Columbia,City of Victoria,The first British settlement in the area was Fort Victoria established in 1843 which gave rise to the City of Victoria at first the capital of the separate Colony of Vancouver Island,P131,Backwards
Norway,Sweden,Sweden,The country shares a long eastern border with Sweden 1619 km or 1006160mi long,P530,Backwards
Sydney,New South Wales,New South Wales,Sydney ˈsɪdni32listen SIDnee Dharug Cadi is the capital city of the state of New South Wales and the most populous city in Australia and Oceania,P36,Backwards
Prince Bernhard of LippeBiesterfeld,World Wide Fund for Nature,World Wide Fund for Nature,Bernhard helped found the World Wildlife Fund later renamed World Wide Fund for Nature becoming its first president in 1961,P112,Backwards
Sustainable Development Goal 1,Sustainable Development Goals,Sustainable Development Goals,Sustainable Development Goal 1 SDG 1 or Global Goal 1 one of the 17 Sustainable Development Goals established by the United Nations in 2015 calls for no poverty,P527,Backwards
Austria,Czech Republic,Czech Republic,It is bordered by Germany to the northwest the Czech Republic to the north Slovakia to the northeast Hungary to the east Slovenia and Italy to the south and Switzerland and Liechtenstein to the west,P530,Backwards
Jamshyd Godrej,India,Indian,Jamshyd Naoroji Godrej is an Indian industrialist and member of the Godrej family currently serving as managing director and chairman of Godrej amp Boyce the familys consumer durables holding company,P27,Forwards
SecretaryGeneral of the United Nations,United Nations,United Nations,The SecretaryGeneral of the United Nations UNSG or SG is the chief administrative officer of the United Nations and head of the United Nations Secretariat one of the six principal organs of the United Nations,P2389,Forwards
North Macedonia,Greece,Greece,North Macedonia is a landlocked country bordering with Kosovo91e93 to the northwest Serbia to the north Bulgaria to the east Greece to the south and Albania to the west,P530,Backwards
Journal of Zoology,WileyBlackwell,WileyBlackwell,It was founded in 1830 by the Zoological Society of London and is published by WileyBlackwell,P123,Forwards
Kayan Mentarang National Park,Indonesia,Indonesia,Kayan Mentarang National Park is a densely forested national park in North Kalimantan province Borneo Island Indonesia,P17,Forwards
Global Assessment Report on Biodiversity and Ecosystem Services,Intergovernmental SciencePolicy Platform on Biodiversity and Ecosystem Services,Intergovernmental SciencePolicy Platform on Biodiversity and Ecosystem Services,The Global Assessment Report on Biodiversity and Ecosystem Services is a report by the United Nations Intergovernmental SciencePolicy Platform on Biodiversity and Ecosystem Services on the global state of biodiversity,P123,Forwards
European Union,Malta,Malta,   160Malta,P527,Forwards
United Kingdom,London,London,The capital is London a global city and financial centre with an urban area population of 103 million,P36,Forwards
Ethiopia,United Nations,United Nations,Ethiopia was the first independent African member of the League of Nations and the United Nations,P463,Forwards
Solar energy,Renewable energy,renewable energy,It is an essential source of renewable energy and its technologies are broadly characterized as either passive solar or active solar depending on how they capture and distribute solar energy or convert it into solar power,P279,Forwards
Sustainable Development Goals,Sustainable Development Goal 8,Decent Work and Economic Growth,The 17 SDGs are 1 No Poverty 2 Zero Hunger 3 Good Health and Wellbeing 4 Quality Education 5 Gender Equality 6 Clean Water and Sanitation 7 Affordable and Clean Energy 8 Decent Work and Economic Growth 9 Industry Innovation and Infrastructure 10 Reducing Inequality 11 Sustainable Cities and Communities 12 Responsible Consumption and Production 13 Climate Action 14 Life Below Water 15 Life On Land 16 Peace Justice and Strong Institutions 17 Partnerships for the Goals,P527,Forwards
Agency for Technical Cooperation and Development,Paris,Paris,ACTED has its head office in Paris and network offices in Geneva London Ottawa and Washington DC,P131,Forwards
Canada,Arctic Ocean,Arctic Ocean,Its ten provinces and three territories extend from the Atlantic to the Pacific and northward into the Arctic Ocean covering 998160million square kilometres 385160million square miles making it the worlds secondlargest country by total area,P205,Backwards
Jack Ma,Alibaba Group,Alibaba Group,He is the cofounder and former executive chairman of Alibaba Group a multinational technology conglomerate,P112,Backwards
Chopard,Geneva,Geneva,The company is headquartered in Geneva and has a site in Fleurier Canton of Neuchâtel that manufactures watch movements,P159,Forwards
Austria,Czech Republic,Czech Republic,It is bordered by Germany to the northwest the Czech Republic to the north Slovakia to the northeast Hungary to the east Slovenia and Italy to the south and Switzerland and Liechtenstein to the west,P530,Forwards
Ngiri Triangle Nature Reserve,Democratic Republic of the Congo,Democratic Republic of the Congo,The Ngiri Reserve is a protected area of the Democratic Republic of the Congo DRC,P17,Forwards
Jakarta,Indonesia,Indonesia,Jakarta dʒəˈkɑːrtə Indonesian pronunciation160dʒaˈkarta32listen officially the Special Capital Region of Jakarta Indonesian Daerah Khusus Ibukota Jakarta is the capital of Indonesia,P17,Forwards
The Washington Post,Washington DC,Washington DC,The Washington Post also known as the Post and informally WaPo is an American daily newspaper owned by Jeff Bezos and published in Washington DC It is the mostwidely circulated newspaper within the Washington metropolitan area and has a large national audience,P159,Forwards
Togo,United Nations,United Nations,Togo is a member of the United Nations African Union Organisation of Islamic Cooperation South Atlantic Peace and Cooperation Zone Francophonie and Economic Community of West African States,P463,Forwards
Walmart,United States,United States,Walmart Inc  ˈwɔːlmɑːrt formerly WalMart Stores Inc is an American multinational retail corporation that operates a chain of hypermarkets discount department stores and grocery stores from the United States headquartered in Bentonville Arkansas,P17,Forwards
Tephra,Volcano,volcanic eruption,Tephra is fragmental material produced by a volcanic eruption regardless of composition fragment size or emplacement mechanism,P186,Backwards
Senegal,Cape Verde,Cape Verde,Senegal also shares a maritime border with Cape Verde,P530,Forwards
Chihuahua state,Rio Conchos,Conchos River,Most of the inhabitants live along the Rio Grande Valley and the Conchos River Valley,P131,Backwards
Pilar Sorsogon,Philippines,Philippines,Pilar officially the Municipality of Pilar  is a 1st class municipality in the province of Sorsogon Philippines,P17,Forwards
Ratanakiri Province,Cambodia,Cambodia,Ratanakiri or Ratanak Kiri Khmer រតនគិរី Reăktăknăkkĭri  ˌreə̯̆ʔtaʔˈnaʔkiˈriː is a province of northeast Cambodia,P150,Backwards
Nigeria,Demographics of Nigeria,250 ethnic groups,Nigeria is a multinational state inhabited by more than 250 ethnic groups speaking 500 distinct languages all identifying with a wide variety of cultures,P17,Backwards
Climate change adaptation,Climate change,climate change,Climate change adaptation is the process of adjusting to current or expected climate change and its effects,P1269,Forwards
Denmark,Norway,Norway,Denmark lies southwest of Sweden and south of Norway91N 1293 and is bordered to the south by Germany,P530,Backwards
Shanghai,Yangtze,Yangtze,The city is located on the southern estuary of the Yangtze River with the Huangpu River flowing through it,P206,Forwards
Czech Republic,Europe,Europe,    Motto160Pravda vítězí160CzechTruth prevailsAnthem160Kde domov můj160160CzechWhere is my home160aLocation of160the160Czech Republic160dark green–160in Europe160green amp160dark grey–160in the European Union160green160 –160 91Legend93Capitaland largest cityPrague50°05′N 14°28′Exfeff  xfeff50083°N 14467°Exfeff  50083 14467Official languageCzechmwparseroutput noboldfontweightnormalOfficially recognized languages ,P30,Forwards
Sustainable Development Goal 2,Sustainable Development Goals,Sustainable Development Goals,It is one of the 17 Sustainable Development Goals established by the United Nations in 2015,P361,Forwards
Northeast Ecological Corridor,Protected area,protected area,It was decreed as a protected area by former Puerto Rico Governor Aníbal S,P31,Forwards
Politics of climate change,Climate change,Climate change,Climate change is a complex global problem,P1269,Forwards
Aerobic organism,Organism,organism,An aerobic organism or aerobe is an organism that can survive and grow in an oxygenated environment,P279,Forwards
Moon,Earth,Earth,The Moon is Earths only natural satellite,P397,Forwards
Tanzania,Democratic Republic of the Congo,Democratic Republic of the Congo,It borders Uganda to the north Kenya to the northeast Comoro Islands and the Indian Ocean to the east Mozambique and Malawi to the south Zambia to the southwest and Rwanda Burundi and the Democratic Republic of the Congo to the west,P47,Forwards
Philippines,Japan,Japan,The Philippines is bounded by the South China Sea to the west the Philippine Sea to the east and the Celebes Sea to the southwest and shares maritime borders with Taiwan to the north Japan to the northeast Palau to the east and southeast Indonesia to the south Malaysia and Brunei to the southwest Vietnam to the west and China to the northwest,P47,Backwards
Caloocan,Valenzuela Metro Manila,Valenzuela,South Caloocan is bordered by Manila Quezon City Malabon Navotas and Valenzuela,P47,Forwards
Cockscomb Basin Wildlife Sanctuary,Belize,Belize,The Cockscomb Basin Wildlife Sanctuary is a nature reserve in the Stann Creek District of southcentral Belize,P17,Forwards
Steadystate economy,Herman Daly,Herman Daly,Since the 1970s the concept of a steadystate economy has been associated mainly with the work of leading ecological economist Herman Daly,P101,Backwards
Tropical Rainforest Heritage of Sumatra,Bukit Barisan Selatan National Park,Bukit Barisan Selatan National Park,It comprises three Indonesian national parks on the island of Sumatra Gunung Leuser National Park Kerinci Seblat National Park and the Bukit Barisan Selatan National Park,P527,Forwards
Idaho Batholith ecoregion,Ecoregion,ecoregion,The Idaho Batholith ecoregion is a Level III ecoregion designated by the United States Environmental Protection Agency EPA in the a hrefwikiUSstate titleUS,P31,Forwards
Scotland,United Kingdom,United Kingdom,Scotland Scots Scotland Scottish Gaelic Alba ˈal̪ˠapə32listen is a country that is part of the United Kingdom,P17,Forwards
Geography of the United Kingdom,United Kingdom,United Kingdom,The United Kingdom is a sovereign state located off the northwestern coast of continental Europe,P1269,Forwards
Poverty threshold,Poverty,poverty,In practice like the definition of poverty the official or common understanding of the poverty line is significantly higher in developed countries than in developing countries,P138,Forwards
IKEA,Sweden,Sweden,Founded in Sweden in 1943 by 17yearold Ingvar Kamprad IKEA has been the worlds largest furniture retailer since 2008,P17,Forwards
Directorate General of Shipping,Mumbai,Mumbai,The directorate  is located in Mumbai and led by Director General of Shipping Mr,P159,Forwards
Belgium,OECD,OECD,Belgium is also a founding member of the Eurozone NATO OECD and WTO and a part of the trilateral Benelux Union and the Schengen Area,P463,Forwards
Climate,Meteorology,meteorological,Some of the meteorological variables that are commonly measured are temperature humidity atmospheric pressure wind and precipitation,P2579,Forwards
Sustainable Development Goals,United Nations,UN,Though the goals are broad and interdependent two years later 6th of July2017 the SDGs were made more actionable by a UN Resolution adopted by the General Assembly,P50,Forwards
Paul R Ehrlich,United States,American,Paul Ralph Ehrlich born May 29 1932 is an American biologist best known for his warnings about the consequences of population growth and limited resources,P27,Forwards
Rwanda,Uganda,Uganda,Located a few degrees south of the Equator Rwanda is bordered by Uganda Tanzania Burundi and the Democratic Republic of the Congo,P47,Forwards
Henry David Thoreau,Leo Tolstoy,Leo Tolstoy,Thoreaus philosophy of civil disobedience later influenced the political thoughts and actions of such notable figures as Leo Tolstoy Mahatma Gandhi and Martin Luther King Jr,P737,Backwards
Sustainable Development Goals,Sustainable Development Goal 11,Sustainable Cities and Communities,The 17 SDGs are 1 No Poverty 2 Zero Hunger 3 Good Health and Wellbeing 4 Quality Education 5 Gender Equality 6 Clean Water and Sanitation 7 Affordable and Clean Energy 8 Decent Work and Economic Growth 9 Industry Innovation and Infrastructure 10 Reducing Inequality 11 Sustainable Cities and Communities 12 Responsible Consumption and Production 13 Climate Action 14 Life Below Water 15 Life On Land 16 Peace Justice and Strong Institutions 17 Partnerships for the Goals,P527,Forwards
Norway,Denmark,Denmark,Norway is bordered by Finland and Russia to the northeast and the Skagerrak strait to the south with Denmark on the other side,P530,Backwards
Poland,Germany,Germany,The country is bordered by Lithuania and Kaliningrad Oblast of Russia to the northeast Belarus and Ukraine to the east Slovakia and the Czech Republic to the south and Germany to the west,P47,Forwards
Nuevo Casas Grandes Municipal Airport,Chihuahua state,Chihuahua,Nuevo Casas Grandes Municipal Airport IATA NCG ICAO MMCG is an airport located in Nuevo Casas Grandes Chihuahua Mexico,P131,Forwards
Cascades ecoregion,Oregon,Oregon,states of Washington Oregon and California,P131,Forwards
Timeline of global health,Global health,global health,This page is a timeline of global health including major conferences interventions cures and crises,P2184,Backwards
Earth science,Earth,Earth,Earth science or geoscience includes all fields of natural science related to planet Earth,P2578,Forwards
2011 Team Sky season,Ineos Grenadiers,Team Sky,The 2011 season for the Team Sky cycling team began in January at the Bay Classic Series and ended in October at the Noosa Grand Prix,P361,Forwards
Pasay,Philippines,Philippines,Pasay officially the City of Pasay Tagalog Lungsod ng Pasay IPA160pɐsaɪ is a 1st class highly urbanized city in the National Capital Region of the Philippines,P17,Forwards
Eugene Odum,University of Georgia,University of Georgia,Eugene Pleasants Odum September 17 1913 – August 10 2002 was an American biologist at the University of Georgia known for his pioneering work on ecosystem ecology,P108,Forwards
Anabaptism,Hutterites,Hutterites,In addition to a number of minor Anabaptist groups the most numerous include the Mennonites at 21160million the German Baptist Brethren at 15160million the Amish at 350000 and the Hutterites at 200000 in Canada alone91span titleThis claim needs references to reliable sources in the body of the article,P279,Backwards
International Day of Democracy,United Nations General Assembly,United Nations General Assembly,In 2007 the United Nations General Assembly resolved to observe 15 September as the International Day of Democracy—with the purpose of promoting and upholding the principles of democracy—and invited all member states and organizations to commemorate the day in an appropriate manner that contributes to raising public awareness,P112,Forwards
Republic of Ireland,OECD,OECD,Ireland is a member of the European Union and is a founding member of the Council of Europe and the OECD,P463,Forwards
Wanjira Mathai,Kenya,Kenyan,Wanjira Mathai born December 1971 is a Kenyan environmentalist and activist,P19,Forwards
Ivory trade,Ivory,ivory,The ivory trade is the commercial often illegal trade in the ivory tusks of the hippopotamus walrus narwhal mammoth and most commonly African and Asian elephants,P1269,Forwards
New Zealand Geographic,New Zealand,New Zealand,New Zealand Geographic is a magazine published by Kowhai Media Ltd of Auckland New Zealand in the format popularised by National Geographic,P495,Forwards
United States Geological Survey,United States,United States,The scientists of the USGS study the landscape of the United States its natural resources and the natural hazards that threaten it,P17,Forwards
UNESCO,Paris,Paris,Headquartered at the World Heritage Centre in Paris France UNESCO has 53 regional field offices and 199 national commissions that facilitate its global mandate,P159,Forwards
2016 Croatian parliamentary election,Croatia,Croatia,Parliamentary elections were held in Croatia on 11 September 2016 with all 151 seats in the Croatian Parliament up for election,P1001,Forwards
Metro Manila,Makati,Makati,It is composed of 16 cities the city of Manila Quezon City Caloocan Las Piñas Makati Malabon Mandaluyong Marikina Muntinlupa Navotas Parañaque Pasay Pasig San Juan Taguig and Valenzuela as well as the municipality of Pateros,P131,Backwards
International Disability Alliance,Nongovernmental organization,Non Governmental Organizations,The IDA works with Non Governmental Organizations NGOs supranational organizations such as the United Nations UN as well as state governments in order to create legislation fund disability programs in developing and industrialized countries and advocate for people with disabilities around the world,P1454,Forwards
Hydroelectricity,Renewable energy,renewable electricity,In 2015 hydropower generated 166 of the worlds total electricity and 70 of all renewable electricity and was expected to increase by about 31 each year for the next 25 years,P279,Forwards
West Africa,Nigeria,Nigeria,The United Nations defines Western Africa as the 16 countries of Benin Burkina Faso Cape Verde The Gambia Ghana Guinea GuineaBissau Ivory Coast Liberia Mali Mauritania Niger Nigeria Senegal Sierra Leone and Togo,P527,Forwards
Netherlands,Singapore,Singapore,The Port of Rotterdam is the busiest seaport in Europe and the busiest in any country outside East Asia and Southeast Asia behind only China and Singapore,P530,Forwards
Oulanka National Park,National park,national park,Oulanka National Park Finnish Oulangan kansallispuisto is a national park in the Northern Ostrobothnia and Lapland regions of Finland covering 270 square kilometres 104160sq160mi,P31,Forwards
Norway,Sweden,Sweden,The country shares a long eastern border with Sweden 1619 km or 1006160mi long,P530,Forwards
Tropical Rainforest Heritage of Sumatra,Bukit Barisan Selatan National Park,Bukit Barisan Selatan National Park,It comprises three Indonesian national parks on the island of Sumatra Gunung Leuser National Park Kerinci Seblat National Park and the Bukit Barisan Selatan National Park,P361,Backwards
European Union,G20,G20,It maintains permanent diplomatic missions throughout the world and represents itself at the United Nations the World Trade Organization the G7 and the G20,P527,Backwards
International Trade Centre,Geneva,Geneva,The headquarters of the ITC are in Geneva,P159,Forwards
Germany,Berlin,Berlin,The nations capital and largest city is Berlin and its financial centre is Frankfurt the largest urban area is the Ruhr,P17,Backwards
Indonesia,World Trade Organization,World Trade Organization,The country is a member of several multilateral organisations including the United Nations  World Trade Organization G20 and a founding member of the NonAligned Movement Association of Southeast Asian Nations East Asia Summit and the Organisation of Islamic Cooperation,P463,Forwards
Kenya,Tanzania,Tanzania,Kenya is bordered by South Sudan to the northwest Ethiopia to the north Somalia to the east Uganda to the west Tanzania to the south and the Indian Ocean to the southeast,P530,Backwards
Bhutan,Thimphu,Thimphu,The largest city in Bhutan is the capital Thimphu,P17,Backwards
State capitalism,Capitalism,capitalism,Marxist literature defines state capitalism as a social system combining capitalism with ownership or control by a state,P279,Forwards
Sweden,Stockholm,Stockholm,Royal anthem160KungssångenSong of the KingShow globeShow map of EuropeLocation of160Sweden160dark green–160in Europe160green amp160dark grey–160in the European Union160green160 –160 91Legend93Capitaland largest cityStockholm59°21′N 18°4′Exfeff  xfeff59350°N 18067°Exfeff  59350 18067Official160languagesSwedishcNational minority languagesFinnishMeänkieliSamiRomaniYiddishEthnic160groups  2019745 Swedish background255 foreign backgroundReligion  2017668 Christianity—603 Church of Sweden91a93,P1376,Backwards
United Nations,United States,United States,The organizations mission to preserve world peace was complicated in its early decades by the Cold War between the United States and Soviet Union and their respective allies,P463,Backwards
Sea,Seawater,seawater,The most abundant solid dissolved in seawater is sodium chloride,P527,Forwards
Stanley Hallett,Chicago,Chicago,With the bulk of his professional work taking place in Chicago Hallett began by working in church civil rights and later turned increasingly toward community economic and environmental sustainability,P20,Forwards
Australia,World Trade Organization,WTO,It is a member of the United Nations the G20 the Commonwealth of Nations the ANZUS the OECD the WTO the APEC the Pacific Islands Forum and the ASEAN  6 mechanism,P463,Forwards
Sacred Himalayan Landscape,Kanchenjunga Conservation Area,Kanchenjunga Conservation Area,More than 73 of this landscape is located in Nepal including Sagarmatha National Park Makalu Barun National Park and Kanchenjunga Conservation Area,P527,Forwards
Macau,UNESCO,UNESCO,The unique blend of Portuguese and Chinese architecture in the citys Historic Centre led to its inscription on the UNESCO World Heritage List in 2005,P463,Forwards
Aga Khan Foundation,Geneva,Geneva,The Foundations head office is located in Geneva Switzerland,P159,Forwards
Kyoto Museum for World Peace,Japan,Japan,The Kyoto Museum for World Peace 立命館大学国際平和ミュージアム Ritsumeikan Daigaku Kokusai Heiwa Myūjiamu is part of Ritsumeikan University in Kitaku Kyoto Japan,P17,Forwards
Penguin Books,London,London,Penguin Books has its registered office in the City of Westminster London England,P159,Forwards
World Wide Fund for Nature,Prince Philip Duke of Edinburgh,Prince Philip Duke of Edinburgh,HeadquartersRue Mauverney 28Gland Vaud SwitzerlandRegion WorldwideMethodsLobbyingresearchconsultancyPresidentPavan SukhdevPresident EmeritusPrince Philip Duke of Edinburgh †Director GeneralMarco LambertiniRevenue  € 654 million 2013Websitewwfpandaorgworldwildlifeorg USA,P112,Forwards
New Zealand,Australia,Australia,New Zealand is about 2000 kilometres 1200160mi east of Australia across the Tasman Sea and 1000 kilometres 600160mi south of the islands of New Caledonia Fiji and Tonga,P530,Forwards
WWFCanada,Canada,Canada,The WWFs name remains World Wildlife Fund in Canada and the United States but it is known as World Wide Fund for Nature around the world,P17,Forwards
Wild fisheries,Fishery,fishery,A fishery is an area with an associated fish or aquatic population which is harvested for its commercial value,P1889,Backwards
Ghana,African Union,African Union,It is a member of the NonAligned Movement the African Union the Economic Community of West African States ECOWAS Group of 24 G24 and the Commonwealth of Nations,P463,Forwards
Denmark,Norway,Norway,Denmark lies southwest of Sweden and south of Norway91N 1293 and is bordered to the south by Germany,P530,Forwards
Belgium,Netherlands,Netherlands,It is bordered by the Netherlands to the north Germany to the east Luxembourg to the southeast France to the southwest and the North Sea to the northwest,P530,Backwards
Group of Seven,Germany,Germany,160United StatesPresident Joe Biden160United Kingdom 2021 hostPrime Minister Boris Johnson160FrancePresident Emmanuel Macron160GermanyChancellor Angela Merkel160ItalyPrime Minister Mario Draghi160JapanPrime Minister Suga Yoshihide160European UnionCouncil President Charles MichelCommission President Ursula von der LeyenAbbreviationG7PredecessorGroup of Eight G8 reversionFormation25 March 1973 Library Group1st G6 summit 15 November 1975FounderLibrary Group George Shultz Helmut Schmidt also 1st G6 summit Valéry Giscard dEstaing also 1st G6 summit Anthony Barber Richard Nixon Willy Brandt Georges Pompidou Edward Heath1st G6 summit Gerald Ford Harold Wilson Aldo Moro Miki TakeoFounded atWashington DC Library GroupRambouillet 1st G6 summitTypeinformal clubPurposePoliticalFieldsInternational politicsMembership mwparseroutput noboldfontweightnormal2021 7 and the EUFundingMember statesFormerly calledG5G6G8,P710,Forwards
Dieppe New Brunswick,Moncton,Moncton,Dieppe is part of the census metropolitan area of Moncton which is New Brunswicks most populous city with a metropolitan population of 144810 according to Statistics Canada in 2016,P47,Backwards
Greece,North Macedonia,North Macedonia,It shares land borders with Albania to the northwest North Macedonia and Bulgaria to the north and Turkey to the northeast,P47,Backwards
Pasig,Metro Manila,Metro Manila,Pasig was formerly part of Rizal province before the formation of Metro Manila the national capital region of the country,P150,Backwards
Urban sprawl,Urban planning,urban planning,Urban sprawl also known as suburban sprawl or urban encroachment is the unrestricted growth in many urban areas of housing commercial development and roads over large expanses of land with little concern for urban planning,P1269,Forwards
Wakatobi National Park,Indonesia,Indonesia,Wakatobi National Park is a marine national park in Southeast Sulawesi Indonesia,P17,Forwards
Shanghai Natural History Museum,Shanghai,Shanghai,The Shanghai Natural History Museum Chinese58 上海自然博物馆 pinyin58 Shànghǎi Zìrán Bówùguǎn Shanghainese Zånhae Zyzoe Pohvehguoe is a museum dedicated to natural history in the city of Shanghai,P131,Forwards
Penguin Books,London,London,Penguin Books has its registered office in the City of Westminster London England,P740,Forwards
Maharashtra,Economy of Maharashtra,economy of Maharashtra,The economy of Maharashtra is the largest in India with a gross state domestic product GSDP of ₹2818 trillion US400160billion and has the countrys 15thhighest GSDP per capita of ₹202000 US2800,P276,Backwards
Indonesia,Singapore,Singapore,Other neighbouring countries include Singapore Vietnam the Philippines Australia Palau and India Andaman and Nicobar Islands,P530,Forwards
Cameroon,Central African Republic,Central African Republic,It is bordered by Nigeria to the west and north Chad to the northeast the Central African Republic to the east and Equatorial Guinea Gabon and the Republic of the Congo to the south,P530,Backwards
Tundra,Biome,biome,In physical geography tundra ˈtʌndrə ˈtʊn is a type of biome where the tree growth is hindered by low temperatures and short growing seasons,P31,Forwards
Nature,Wildlife,wildlife,Within the various uses of the word today nature often refers to geology and wildlife,P361,Backwards
Norfolk Island,Pacific Ocean,Pacific Ocean,Norfolk Island is the main island in a group comprising the Australian external territory of Norfolk Island situated in the Pacific Ocean between Australia and New Zealand approximately 692160km 430160mi south of New Caledonia,P206,Forwards
World Wide Fund for Nature,Edward Max Nicholson,Max Nicholson,Max Nicholson,P112,Forwards
Chiribiquete National Park,National park,national park,Chiribiquete National Natural Park Spanish Parque Nacional Natural PNN Serranía de Chiribiquete is the largest national park in Colombia and the largest tropical rainforest national park in the world,P31,Forwards
Bhutan,Bangladesh,Bangladesh,Nepal and Bangladesh are located in proximity to Bhutan but do not share a land border,P530,Backwards
Marcia McNutt,Scripps Institution of Oceanography,Scripps Institution of Oceanography,McNutt holds a visiting appointment at the Scripps Institution of Oceanography,P69,Forwards
Wikimedia Foundation,United States,United States,Petersburg Florida United StatesFounderJimmy WalesType501c3 charitable organizationTax ID no 200049703FocusFree opencontent wikibased Internet projectsLocationSan Francisco California United StatesLos Angeles California United States registered agentArea served WorldwideProductsWikipedia Wiktionary Wikimedia Commons Wikidata Wikiquote Wikibooks Wikisource Wikispecies Wikinews Wikiversity Wikivoyage MediaWikiMembership  BoardonlyKey peopleMaría Sefidari Chair of the board Janeen Uzzell Chief operating officerRevenue   US1272 million 20201221 million 2019Expenses US1125 million 2020914 million 2019Endowment mwparseroutput noboldfontweightnormal2021gtUS90 millionEmployees  450 staffcontractors as of April1601632202191update93Websitewikimediafoundationorg,P17,Forwards
Norway,Sweden,Sweden,The country shares a long eastern border with Sweden 1619 km or 1006160mi long,P47,Forwards
Bon Irau,Tamrau Mountains,Tamrau Mountains,Bon Irau with an elevation of 2501 metres 8205160ft is the highest peak in the Tamrau Mountains and the highest point in the province of West Papua outside of the Arfak Mountains,P4552,Forwards
Texas Monthly,United States,American,Texas Monthly stylized as TexasMonthly is a monthly American magazine headquartered in Downtown Austin Texas,P495,Forwards
Pacific Ocean,World Ocean,World Ocean,At 165250000 square kilometers 63800000 square miles in the area as defined with a southern Antarctic border this largest division of the World Ocean—and in turn the hydrosphere—covers about 46 of Earths water surface and about 32 of its total surface area making it larger than all of Earths land area combined 148000000  square kilometers,P527,Backwards
UTS Vicki Sara Building,New South Wales,New South Wales,The UTS Vicki Sara Building also known as the Science Faculty Building is the building housing the Faculty of Science and the Graduate School of Health in the University of Technology Sydney in New South Wales Australia,P131,Forwards
Alberta,Saskatchewan,Saskatchewan,Alberta is bordered by British Columbia to the west Saskatchewan to the east the Northwest Territories NWT to the north and the a hrefwikiUSstate titleUS,P47,Forwards
University of the South Pacific,Cook Islands,Cook Islands,Established in 1968 the university is organised as an intergovernmental organisation and is owned by the governments of 12 Pacific island countries the Cook Islands Fiji Kiribati Marshall Islands Nauru Niue Samoa Solomon Islands Tokelau Tonga Tuvalu and Vanuatu,P17,Forwards
Outline of geography,Geography,Geography,Geography 8211 study of earth and its people,P1269,Forwards
